   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   81.0057       6.57960       9.39493       6.56515       9.38964      0.144457E-01  0.528672E-02   15.9548       3.57973       3.57898       3.42412       2.98542       2.38675       0.00000       3.42391    
  0.109648E-03   78.1255       6.37519       9.09918       6.35989       9.09357      0.153047E-01  0.561301E-02   15.4535       3.47268       3.47187       3.31890       2.88720       2.30300       0.00000       3.31870    
  0.120226E-03   75.3684       6.17849       8.81464       6.16224       8.80867      0.162464E-01  0.597361E-02   14.9709       3.36949       3.36862       3.21752       2.79275       2.22273       0.00000       3.21731    
  0.131825E-03   72.6608       5.98492       8.53465       5.96769       8.52830      0.172255E-01  0.635000E-02   14.4960       3.26787       3.26694       3.11770       2.69982       2.14388       0.00000       3.11749    
  0.144543E-03   70.0242       5.79583       8.26117       5.77757       8.25442      0.182584E-01  0.674900E-02   14.0320       3.16850       3.16750       3.02010       2.60907       2.06704       0.00000       3.01989    
  0.158489E-03   67.4830       5.61282       7.99649       5.59345       7.98931      0.193725E-01  0.718267E-02   13.5828       3.07217       3.07109       2.92551       2.52128       1.99291       0.00000       2.92530    
  0.173779E-03   64.9882       5.43278       7.73610       5.41226       7.72847      0.205289E-01  0.763452E-02   13.1407       2.97733       2.97617       2.83240       2.43493       1.92011       0.00000       2.83219    
  0.190545E-03   62.5824       5.25846       7.48396       5.23669       7.47584      0.217708E-01  0.812336E-02   12.7125       2.88534       2.88409       2.74212       2.35135       1.84983       0.00000       2.74191    
  0.208928E-03   60.2449       5.08857       7.23820       5.06548       7.22956      0.230866E-01  0.864472E-02   12.2950       2.79556       2.79423       2.65403       2.26992       1.78151       0.00000       2.65382    
  0.229085E-03   57.9517       4.92154       6.99658       4.89709       6.98739      0.244508E-01  0.918735E-02   11.8845       2.70722       2.70579       2.56736       2.18987       1.71445       0.00000       2.56716    
  0.251186E-03   55.7627       4.76133       6.76473       4.73539       6.75494      0.259423E-01  0.978676E-02   11.4903       2.62227       2.62073       2.48405       2.11312       1.65036       0.00000       2.48385    
  0.275420E-03   53.6177       4.60402       6.53704       4.57653       6.52662      0.274945E-01  0.104137E-01   11.1032       2.53877       2.53712       2.40218       2.03776       1.58752       0.00000       2.40198    
  0.301992E-03   51.5320       4.45061       6.31493       4.42149       6.30386      0.291282E-01  0.110776E-01   10.7253       2.45720       2.45544       2.32223       1.96428       1.52638       0.00000       2.32203    
  0.331127E-03   49.5291       4.30271       6.10069       4.27182       6.08889      0.308908E-01  0.118008E-01   10.3607       2.37837       2.37648       2.24498       1.89345       1.46761       0.00000       2.24479    
  0.363073E-03   47.5657       4.15745       5.89020       4.12473       5.87765      0.327192E-01  0.125547E-01   10.0024       2.30085       2.29883       2.16903       1.82388       1.40997       0.00000       2.16885    
  0.398101E-03   45.6764       4.01715       5.68678       3.98247       5.67341      0.346775E-01  0.133694E-01   9.65588       2.22578       2.22362       2.09552       1.75669       1.35445       0.00000       2.09534    
  0.436509E-03   43.8463       3.88085       5.48903       3.84410       5.47479      0.367530E-01  0.142400E-01   9.31889       2.15270       2.15038       2.02396       1.69140       1.30063       0.00000       2.02379    
  0.478622E-03   42.0536       3.74709       5.29488       3.70819       5.27973      0.389034E-01  0.151463E-01   8.98792       2.08086       2.07838       1.95364       1.62733       1.24787       0.00000       1.95348    
  0.524798E-03   40.3473       3.61922       5.10905       3.57798       5.09291      0.412466E-01  0.161462E-01   8.67088       2.01192       2.00927       1.88620       1.56606       1.19760       0.00000       1.88604    
  0.575429E-03   38.6793       3.49399       4.92694       3.45031       4.90975      0.436863E-01  0.171936E-01   8.36006       1.94428       1.94144       1.82003       1.50603       1.14843       0.00000       1.81988    
  0.630945E-03   37.0597       3.37209       4.74952       3.32585       4.73122      0.462477E-01  0.183012E-01   8.05706       1.87826       1.87524       1.75548       1.44758       1.10064       0.00000       1.75534    
  0.691816E-03   35.5106       3.25509       4.57897       3.20608       4.55946      0.490092E-01  0.195094E-01   7.76554       1.81465       1.81141       1.69330       1.39144       1.05488       0.00000       1.69317    
  0.758561E-03   33.9944       3.14039       4.41163       3.08852       4.39087      0.518712E-01  0.207687E-01   7.47938       1.75215       1.74869       1.63223       1.33637       1.01007       0.00000       1.63210    
  0.831745E-03   32.5386       3.02993       4.25022       2.97500       4.22809      0.549263E-01  0.221270E-01   7.20309       1.69170       1.68802       1.57319       1.28329      0.966995       0.00000       1.57308    
  0.911989E-03   31.1331       2.92303       4.09376       2.86486       4.07018      0.581627E-01  0.235799E-01   6.93505       1.63299       1.62905       1.51586       1.23188      0.925370       0.00000       1.51576    
  0.999975E-03   29.7586       2.81832       3.94036       2.75681       3.91527      0.615124E-01  0.250923E-01   6.67208       1.57533       1.57114       1.45958       1.18148      0.884637       0.00000       1.45950    
  0.109645E-02   28.4544       2.71865       3.79392       2.65350       3.76717      0.651467E-01  0.267563E-01   6.42067       1.52009       1.51562       1.40570       1.13341      0.845929       0.00000       1.40562    
  0.120223E-02   27.1827       2.62133       3.65073       2.55240       3.62223      0.689295E-01  0.285011E-01   6.17464       1.46598       1.46121       1.35292       1.08643      0.808163       0.00000       1.35286    
  0.131822E-02   25.9498       2.52682       3.51140       2.45393       3.48106      0.728887E-01  0.303418E-01   5.93499       1.41320       1.40812       1.30147       1.04073      0.771513       0.00000       1.30142    
