   10.0000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   10.1586       1.34483       1.82165       1.33850       1.81983      0.632605E-02  0.181805E-02   3.15833      0.993711      0.993387      0.826561      0.344791       0.00000       0.00000      0.826441    
  0.109648E-03   10.1591       1.32486       1.79405       1.31811       1.79211      0.674601E-02  0.194261E-02   3.11022      0.978883      0.978532      0.813695      0.339227       0.00000       0.00000      0.813574    
  0.120226E-03   10.1447       1.30494       1.76654       1.29773       1.76446      0.721227E-02  0.208238E-02   3.06218      0.964112      0.963731      0.800850      0.333614       0.00000       0.00000      0.800727    
  0.131825E-03   10.1246       1.28506       1.73909       1.27736       1.73686      0.769987E-02  0.222930E-02   3.01422      0.949373      0.948960      0.788023      0.327988       0.00000       0.00000      0.787897    
  0.144543E-03   10.0965       1.26524       1.71171       1.25702       1.70933      0.821803E-02  0.238644E-02   2.96635      0.934680      0.934233      0.775220      0.322345       0.00000       0.00000      0.775093    
  0.158489E-03   10.0579       1.24554       1.68448       1.23676       1.68192      0.878317E-02  0.255960E-02   2.91868      0.920066      0.919582      0.762467      0.316691       0.00000       0.00000      0.762338    
  0.173779E-03   10.0145       1.22590       1.65733       1.21653       1.65458      0.937298E-02  0.274127E-02   2.87111      0.905495      0.904971      0.749742      0.311036       0.00000       0.00000      0.749613    
  0.190545E-03   9.96190       1.20641       1.63034       1.19640       1.62739      0.100130E-01  0.294040E-02   2.82379      0.891013      0.890446      0.737080      0.305383       0.00000       0.00000      0.736949    
  0.208928E-03   9.90265       1.18705       1.60350       1.17635       1.60034      0.106972E-01  0.315524E-02   2.77669      0.876611      0.875997      0.724476      0.299742       0.00000       0.00000      0.724344    
  0.229085E-03   9.83911       1.16778       1.57676       1.15637       1.57338      0.114104E-01  0.338037E-02   2.72975      0.862262      0.861598      0.711911      0.294108       0.00000       0.00000      0.711779    
  0.251186E-03   9.76600       1.14876       1.55029       1.13656       1.54665      0.122010E-01  0.363355E-02   2.68321      0.848053      0.847333      0.699452      0.288504       0.00000       0.00000      0.699319    
  0.275420E-03   9.68908       1.12986       1.52394       1.11683       1.52004      0.130292E-01  0.390065E-02   2.63687      0.833909      0.833131      0.687045      0.282918       0.00000       0.00000      0.686912    
  0.301992E-03   9.60703       1.11112       1.49778       1.09721       1.49359      0.139079E-01  0.418646E-02   2.59080      0.819855      0.819014      0.674708      0.277357       0.00000       0.00000      0.674575    
  0.331127E-03   9.51825       1.09265       1.47188       1.07778       1.46738      0.148679E-01  0.450302E-02   2.54515      0.805938      0.805028      0.662481      0.271840       0.00000       0.00000      0.662348    
  0.363073E-03   9.42637       1.07431       1.44612       1.05844       1.44128      0.158698E-01  0.483569E-02   2.49972      0.792090      0.791107      0.650310      0.266347       0.00000       0.00000      0.650178    
  0.398101E-03   9.32886       1.05623       1.42063       1.03928       1.41543      0.169552E-01  0.520068E-02   2.45471      0.778377      0.777314      0.638247      0.260901       0.00000       0.00000      0.638116    
  0.436509E-03   9.22714       1.03840       1.39538       1.02028       1.38978      0.181174E-01  0.559611E-02   2.41006      0.764779      0.763631      0.626280      0.255500       0.00000       0.00000      0.626151    
  0.478622E-03   9.12278       1.02071       1.37027       1.00138       1.36426      0.193288E-01  0.601108E-02   2.36565      0.751256      0.750017      0.614374      0.250127       0.00000       0.00000      0.614247    
  0.524798E-03   9.01271       1.00341       1.34555      0.982743       1.33907      0.206690E-01  0.647835E-02   2.32181      0.737915      0.736575      0.602620      0.244829       0.00000       0.00000      0.602494    
  0.575429E-03   8.90030      0.986301       1.32100      0.964225       1.31403      0.220751E-01  0.697296E-02   2.27825      0.724659      0.723213      0.590937      0.239566       0.00000       0.00000      0.590814    
  0.630945E-03   8.78494      0.969427       1.29668      0.945862       1.28918      0.235643E-01  0.750210E-02   2.23504      0.711512      0.709952      0.579345      0.234350       0.00000       0.00000      0.579224    
  0.691816E-03   8.66562      0.952934       1.27271      0.927740       1.26462      0.251930E-01  0.809066E-02   2.19236      0.698533      0.696847      0.567894      0.229207       0.00000       0.00000      0.567777    
  0.758561E-03   8.54455      0.936628       1.24892      0.909735       1.24021      0.268928E-01  0.870996E-02   2.14995      0.685634      0.683817      0.556511      0.224101       0.00000       0.00000      0.556398    
  0.831745E-03   8.42039      0.920680       1.22546      0.891950       1.21607      0.287302E-01  0.938936E-02   2.10802      0.672887      0.670926      0.545256      0.219063       0.00000       0.00000      0.545147    
  0.911989E-03   8.29390      0.905057       1.20229      0.874357       1.19216      0.306998E-01  0.101279E-01   2.06652      0.660272      0.658156      0.534112      0.214085       0.00000       0.00000      0.534008    
  0.999975E-03   8.16599      0.889636       1.17930      0.856884       1.16840      0.327523E-01  0.109038E-01   2.02528      0.647738      0.645460      0.523038      0.209146       0.00000       0.00000      0.522939    
  0.109645E-02   8.03518      0.874710       1.15675      0.839693       1.14497      0.350174E-01  0.117774E-01   1.98466      0.635396      0.632938      0.512126      0.204296       0.00000       0.00000      0.512033    
  0.120223E-02   7.90316      0.860034       1.13441      0.822638       1.12170      0.373962E-01  0.127045E-01   1.94434      0.623147      0.620498      0.501293      0.199491       0.00000       0.00000      0.501206    
  0.131822E-02   7.76973      0.845655       1.11232      0.805745       1.09863      0.399099E-01  0.136953E-01   1.90437      0.611007      0.608156      0.490553      0.194738       0.00000       0.00000      0.490473    
  0.144540E-02   7.63443      0.831766       1.09065      0.789106       1.07585      0.426602E-01  0.148007E-01   1.86496      0.599039      0.595965      0.479959      0.190067       0.00000       0.00000      0.479886    
  0.158485E-02   7.49836      0.818115       1.06917      0.772586       1.05321      0.455289E-01  0.159644E-01   1.82580      0.587151      0.583843      0.469432      0.185435       0.00000       0.00000      0.469367    
  0.173775E-02   7.36098      0.804902       1.04806      0.756281       1.03082      0.486212E-01  0.172394E-01   1.78710      0.575408      0.571846      0.459028      0.180873       0.00000       0.00000      0.458971    
  0.190540E-02   7.22268      0.792103       1.02727      0.740166       1.00864      0.519367E-01  0.186286E-01   1.74881      0.563792      0.559958      0.448732      0.176374       0.00000       0.00000      0.448683    
  0.208923E-02   7.08384      0.779556       1.00668      0.724167      0.986596      0.553896E-01  0.200884E-01   1.71076      0.552254      0.548134      0.438501      0.171913       0.00000       0.00000      0.438461    
  0.229079E-02   6.94402      0.767611      0.986568      0.708425      0.964840      0.591857E-01  0.217286E-01   1.67327      0.540889      0.536454      0.428416      0.167537       0.00000       0.00000      0.428386    
  0.251180E-02   6.80386      0.755985      0.966695      0.692811      0.943223      0.631736E-01  0.234725E-01   1.63603      0.529608      0.524841      0.418402      0.163203       0.00000       0.00000      0.418382    
  0.275413E-02   6.66332      0.744713      0.947093      0.677338      0.921761      0.673755E-01  0.253322E-01   1.59910      0.518423      0.513304      0.408467      0.158915       0.00000       0.00000      0.408457    
  0.301984E-02   6.52239      0.734057      0.927949      0.662089      0.900540      0.719674E-01  0.274090E-01   1.56263      0.507387      0.501882      0.398657      0.154703       0.00000       0.00000      0.398658    
  0.331118E-02   6.38135      0.723691      0.909018      0.646941      0.879423      0.767507E-01  0.295945E-01   1.52636      0.496417      0.490509      0.388902      0.150523       0.00000       0.00000      0.388914    
  0.363064E-02   6.24018      0.713853      0.890470      0.631967      0.858489      0.818859E-01  0.319818E-01   1.49046      0.485564      0.479222      0.379243      0.146403       0.00000       0.00000      0.379266    
  0.398091E-02   6.09903      0.704533      0.872294      0.617148      0.837710      0.873848E-01  0.345837E-01   1.45486      0.474814      0.468006      0.369668      0.142334       0.00000       0.00000      0.369704    
  0.436498E-02   5.95792      0.695523      0.854336      0.602420      0.817021      0.931027E-01  0.373158E-01   1.41944      0.464124      0.456831      0.360143      0.138296       0.00000       0.00000      0.360190    
  0.478610E-02   5.81703      0.687238      0.836887      0.587885      0.796515      0.993522E-01  0.403716E-01   1.38440      0.453561      0.445736      0.350720      0.134324       0.00000       0.00000      0.350780    
  0.524785E-02   5.67634      0.679354      0.819715      0.573444      0.776094      0.105910      0.436208E-01   1.34954      0.443060      0.434675      0.341347      0.130384       0.00000       0.00000      0.341419    
  0.575415E-02   5.53585      0.671892      0.802834      0.559101      0.755761      0.112791      0.470728E-01   1.31486      0.432623      0.423651      0.332025      0.126478       0.00000       0.00000      0.332110    
