   4.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   3.18299      0.772637       1.12019      0.768255       1.11928      0.438219E-02  0.911833E-03   1.88754      0.645157      0.644882      0.474399      0.123097       0.00000       0.00000    
  0.109648E-03   3.29334      0.765425       1.10872      0.760727       1.10774      0.469863E-02  0.989000E-03   1.86846      0.638399      0.638101      0.469635      0.122328       0.00000       0.00000    
  0.120226E-03   3.39171      0.758100       1.09717      0.753048       1.09609      0.505272E-02  0.107723E-02   1.84914      0.631609      0.631286      0.464802      0.121439       0.00000       0.00000    
  0.131825E-03   3.48543      0.750738       1.08558      0.745314       1.08441      0.542429E-02  0.117071E-02   1.82972      0.624810      0.624460      0.459946      0.120504       0.00000       0.00000    
  0.144543E-03   3.57249      0.743323       1.07395      0.737502       1.07267      0.582088E-02  0.127173E-02   1.81018      0.617998      0.617620      0.455054      0.119504       0.00000       0.00000    
  0.158489E-03   3.65093      0.735853       1.06227      0.729597       1.06089      0.625621E-02  0.138469E-02   1.79048      0.611174      0.610765      0.450121      0.118423       0.00000       0.00000    
  0.173779E-03   3.72526      0.728362       1.05058      0.721650       1.04907      0.671194E-02  0.150403E-02   1.77072      0.604346      0.603904      0.445170      0.117303       0.00000       0.00000    
  0.190545E-03   3.79185      0.720835       1.03886      0.713626       1.03722      0.720935E-02  0.163655E-02   1.75085      0.597513      0.597034      0.440186      0.116112       0.00000       0.00000    
  0.208928E-03   3.85270      0.713295       1.02712      0.705551       1.02534      0.774371E-02  0.178104E-02   1.73089      0.590681      0.590162      0.435180      0.114870       0.00000       0.00000    
  0.229085E-03   3.90984      0.705745       1.01538      0.697443       1.01345      0.830226E-02  0.193339E-02   1.71089      0.583848      0.583289      0.430160      0.113595       0.00000       0.00000    
  0.251186E-03   3.95855      0.698195       1.00364      0.689269       1.00153      0.892589E-02  0.210737E-02   1.69080      0.577023      0.576416      0.425113      0.112247       0.00000       0.00000    
  0.275420E-03   4.00382      0.690654      0.991895      0.681073      0.989603      0.958134E-02  0.229220E-02   1.67068      0.570202      0.569546      0.420057      0.110870       0.00000       0.00000    
  0.301992E-03   4.04447      0.683124      0.980160      0.672845      0.977668      0.102795E-01  0.249161E-02   1.65051      0.563389      0.562680      0.414988      0.109456       0.00000       0.00000    
  0.331127E-03   4.07889      0.675629      0.968444      0.664582      0.965729      0.110469E-01  0.271524E-02   1.63031      0.556590      0.555823      0.409906      0.107992       0.00000       0.00000    
  0.363073E-03   4.11040      0.668155      0.956741      0.656305      0.953789      0.118502E-01  0.295164E-02   1.61009      0.549799      0.548971      0.404818      0.106506       0.00000       0.00000    
  0.398101E-03   4.13653      0.660729      0.945065      0.648004      0.941851      0.127251E-01  0.321374E-02   1.58986      0.543025      0.542129      0.399722      0.104979       0.00000       0.00000    
  0.436509E-03   4.15850      0.653357      0.933421      0.639691      0.929920      0.136662E-01  0.350029E-02   1.56961      0.536268      0.535299      0.394621      0.103423       0.00000       0.00000    
